state,condition,low_ave,high_ave,med_ave
AK,atrial_fib,27946.59,150555.84,82202.87
AK,asthma,0.0,0.0,0.0
AK,chronic_kidney,34084.46,97077.59,55526.67
AK,pulmonary,32475.39,74410.57,47005.51
AK,depression,28606.45,28606.45,28606.45
AK,diabetes,30744.9,63630.8,39967.39
AK,hyperlip,94041.91,94041.91,94041.91
AK,hypertension,0.0,0.0,0.0
AK,ischemia,108236.88,401029.11,215846.47
AK,arthritis,0.0,0.0,0.0
AK,psychotic,0.0,0.0,0.0
AK,stroke,261591.85,261591.85,261591.85
AL,atrial_fib,17655.37,120110.7,46822.53
AL,asthma,26577.71,32552.54,28257.61
AL,chronic_kidney,25071.57,88051.72,42591.11
AL,pulmonary,24860.87,44241.14,32907.72
AL,depression,19207.43,31413.94,23276.41
AL,diabetes,22770.37,43019.84,31951.41
AL,hyperlip,61428.41,69155.64,65292.03
AL,hypertension,25422.69,40225.8,32824.24
AL,ischemia,34783.33,208956.08,117394.67
AL,arthritis,20516.15,20516.15,20516.15
AL,psychotic,26808.97,26808.97,26808.97
AL,stroke,59503.82,59503.82,59503.82
AR,atrial_fib,12841.93,73217.08,32151.49
AR,asthma,16538.34,22157.73,18998.68
AR,chronic_kidney,16323.25,102941.2,25334.84
AR,pulmonary,17614.73,29079.43,21835.35
AR,depression,11770.03,14828.84,12886.79
AR,diabetes,17192.54,36851.81,22674.92
AR,hyperlip,33679.6,33698.39,33689.0
AR,hypertension,16138.61,25392.46,18258.6
AR,ischemia,24595.23,158443.34,82556.5
AR,arthritis,0.0,0.0,0.0
AR,psychotic,19174.03,19591.07,19382.55
AR,stroke,60759.75,60759.75,60759.75
AZ,atrial_fib,24468.83,116103.89,44113.97
AZ,asthma,34344.17,34344.17,34344.17
AZ,chronic_kidney,28226.55,72816.77,38686.5
AZ,pulmonary,34830.33,43045.92,39114.78
AZ,depression,32999.9,33261.25,33130.57
AZ,diabetes,33880.12,44828.33,38939.76
AZ,hyperlip,51909.36,58258.55,54144.79
AZ,hypertension,29867.08,30384.09,30125.59
AZ,ischemia,54735.09,201827.73,115810.26
AZ,arthritis,22267.49,22267.49,22267.49
AZ,psychotic,21516.87,21516.87,21516.87
AZ,stroke,65610.93,67121.72,66366.32
CA,atrial_fib,39244.83,176214.43,74454.3
CA,asthma,58014.05,62415.19,60214.62
CA,chronic_kidney,43996.29,154414.69,66003.33
CA,pulmonary,49540.27,74712.8,59784.32
CA,depression,54152.92,65022.22,58539.84
CA,diabetes,52734.16,76927.23,63897.92
CA,hyperlip,97124.27,97378.68,97251.47
CA,hypertension,50147.45,56412.46,53279.95
CA,ischemia,64448.18,324669.91,170190.43
CA,arthritis,47763.62,71752.63,59758.12
CA,psychotic,75278.73,75278.73,75278.73
CA,stroke,132528.09,133420.13,132974.11
CO,atrial_fib,26110.79,94288.24,49008.27
CO,asthma,33293.03,33293.03,33293.03
CO,chronic_kidney,33392.99,105075.87,46394.7
CO,pulmonary,35462.49,44829.74,40273.13
CO,depression,37599.12,44444.56,41021.84
CO,diabetes,35814.11,50098.95,43123.28
CO,hyperlip,61600.96,61600.96,61600.96
CO,hypertension,36196.07,42956.12,39576.1
CO,ischemia,91974.93,178394.34,135553.76
CO,arthritis,33025.7,33025.7,33025.7
CO,psychotic,41485.88,41485.88,41485.88
CO,stroke,98676.15,101066.6,99871.38
CT,atrial_fib,17667.47,75001.6,32475.14
CT,asthma,20268.96,23233.5,21751.23
CT,chronic_kidney,18540.65,55815.98,25546.72
CT,pulmonary,18312.06,27708.01,22394.67
CT,depression,23715.96,30302.4,26907.03
CT,diabetes,20626.13,28882.64,24715.48
CT,hyperlip,31889.32,31889.32,31889.32
CT,hypertension,25398.8,33868.46,29633.63
CT,ischemia,28583.77,120018.43,63955.63
CT,arthritis,22047.74,24568.19,23307.96
CT,psychotic,35559.59,35559.59,35559.59
CT,stroke,59593.77,70174.85,64884.31
DE,atrial_fib,15078.42,92242.13,36350.45
DE,asthma,17778.27,20791.71,19284.99
DE,chronic_kidney,17900.47,96008.07,26272.2
DE,pulmonary,17465.22,26423.72,21874.81
DE,depression,18910.36,38478.89,28694.63
DE,diabetes,18106.75,31930.67,23289.75
DE,hyperlip,26475.66,29749.92,28112.79
DE,hypertension,18029.77,20229.64,19129.71
DE,ischemia,21471.3,145521.54,85282.19
DE,arthritis,13409.83,39909.8,26659.82
DE,psychotic,20965.12,20965.12,20965.12
DE,stroke,57028.42,82842.59,62456.29
FL,atrial_fib,24522.4,150020.89,60222.16
FL,asthma,34181.45,39681.89,36931.67
FL,chronic_kidney,30633.34,111043.06,46878.99
FL,pulmonary,30356.87,51571.4,39335.49
FL,depression,31830.02,40000.09,35969.65
FL,diabetes,32213.57,52741.96,40263.04
FL,hyperlip,72342.75,76892.4,74617.57
FL,hypertension,30927.67,36218.44,33692.97
FL,ischemia,42062.56,255369.88,126767.05
FL,arthritis,28736.84,35818.29,31106.78
FL,psychotic,50831.17,51373.04,51102.1
FL,stroke,91091.22,101484.47,96287.85
GA,atrial_fib,17388.08,84715.85,37895.57
GA,asthma,24170.07,27256.46,24721.03
GA,chronic_kidney,22669.6,76847.28,33598.83
GA,pulmonary,22983.93,36127.37,28502.02
GA,depression,22875.17,29017.62,25947.92
GA,diabetes,24078.09,41669.12,33031.44
GA,hyperlip,50389.64,50389.64,50389.64
GA,hypertension,22666.8,33197.88,27932.34
GA,ischemia,35464.73,168599.24,101023.99
GA,arthritis,20173.85,20173.85,20173.85
GA,psychotic,33457.92,33457.92,33457.92
GA,stroke,76536.41,76536.41,76536.41
HI,atrial_fib,18417.54,67451.38,34127.72
HI,asthma,35306.76,35306.76,35306.76
HI,chronic_kidney,21419.26,166327.0,34055.7
HI,pulmonary,31740.61,38657.75,34757.39
HI,depression,13996.55,16572.27,15284.41
HI,diabetes,27175.32,31536.71,29356.02
HI,hyperlip,0.0,0.0,0.0
HI,hypertension,20807.05,23086.63,21946.84
HI,ischemia,49464.61,118255.47,84427.05
HI,arthritis,22616.73,22616.73,22616.73
HI,psychotic,0.0,0.0,0.0
HI,stroke,40533.31,40533.31,40533.31
IA,atrial_fib,13414.64,77033.52,33825.77
IA,asthma,22902.89,22902.89,22902.89
IA,chronic_kidney,17625.85,103298.52,31062.42
IA,pulmonary,18496.93,25516.65,21817.79
IA,depression,14943.64,22084.49,18545.11
IA,diabetes,18505.05,32678.02,24022.47
IA,hyperlip,46512.56,46512.56,46512.56
IA,hypertension,20218.74,25862.3,23040.52
IA,ischemia,38110.38,136393.71,75511.79
IA,arthritis,18149.91,18149.91,18149.91
IA,psychotic,35374.2,35374.2,35374.2
IA,stroke,51792.0,51792.0,51792.0
ID,atrial_fib,17018.71,65058.95,39973.03
ID,asthma,19785.95,19785.95,19785.95
ID,chronic_kidney,19968.06,38984.82,26052.85
ID,pulmonary,20952.72,28751.99,25073.16
ID,depression,19556.74,28674.0,24115.37
ID,diabetes,25518.94,32641.94,29080.44
ID,hyperlip,36483.99,37605.6,37044.79
ID,hypertension,18690.66,18690.66,18690.66
ID,ischemia,41356.63,130229.41,87538.35
ID,arthritis,0.0,0.0,0.0
ID,psychotic,33384.57,33384.57,33384.57
ID,stroke,55801.33,55801.33,55801.33
IL,atrial_fib,21515.49,94875.65,40968.04
IL,asthma,28726.6,31117.38,29921.99
IL,chronic_kidney,24129.37,90921.25,37919.87
IL,pulmonary,23809.77,38997.41,31184.98
IL,depression,23779.42,30494.66,26393.43
IL,diabetes,26930.1,40436.34,33264.72
IL,hyperlip,52520.91,59581.22,56051.06
IL,hypertension,23607.0,28030.3,26283.53
IL,ischemia,39368.85,175390.69,102628.08
IL,arthritis,25030.14,25030.14,25030.14
IL,psychotic,31988.3,34628.62,34249.63
IL,stroke,71094.29,78930.71,75012.5
IN,atrial_fib,18147.77,87322.77,36617.34
IN,asthma,21548.32,24803.82,23176.07
IN,chronic_kidney,20750.8,122942.25,33983.95
IN,pulmonary,19902.57,31315.2,25258.29
IN,depression,19157.44,25930.46,21990.64
IN,diabetes,23762.91,34677.51,28065.52
IN,hyperlip,61257.98,66676.02,63544.71
IN,hypertension,24349.98,29757.32,26524.36
IN,ischemia,37840.58,167968.35,102321.1
IN,arthritis,16452.98,16452.98,16452.98
IN,psychotic,29997.75,29997.75,29997.75
IN,stroke,70405.18,70405.18,70405.18
KS,atrial_fib,17516.32,99604.46,38973.27
KS,asthma,30301.73,30301.73,30301.73
KS,chronic_kidney,23533.39,113301.7,36629.78
KS,pulmonary,24628.44,41603.97,32970.35
KS,depression,26600.43,42019.23,30996.72
KS,diabetes,24655.47,39601.63,30022.53
KS,hyperlip,71889.96,82526.36,77208.16
KS,hypertension,26895.48,35452.01,29254.76
KS,ischemia,33928.3,184154.51,99278.88
KS,arthritis,17166.19,22476.39,19821.29
KS,psychotic,36367.76,46188.64,41278.2
KS,stroke,57568.95,100686.82,77099.53
KY,atrial_fib,15052.75,116116.66,43114.88
KY,asthma,19596.66,21225.58,20307.8
KY,chronic_kidney,19176.04,70165.07,27928.95
KY,pulmonary,18487.06,30516.74,23518.82
KY,depression,12385.63,24042.15,16397.47
KY,diabetes,22056.11,30736.71,25142.72
KY,hyperlip,45238.69,45536.62,45387.65
KY,hypertension,20635.96,24932.43,22173.51
KY,ischemia,31329.18,157807.78,91978.78
KY,arthritis,30423.15,30423.15,30423.15
KY,psychotic,26951.56,28691.72,27821.64
KY,stroke,109473.58,116013.92,112743.75
LA,atrial_fib,15087.31,74070.05,31956.72
LA,asthma,23655.16,25249.31,24452.23
LA,chronic_kidney,20020.79,95775.97,33871.64
LA,pulmonary,21461.02,35566.82,27003.95
LA,depression,19218.53,19634.15,19582.37
LA,diabetes,19979.63,39538.13,27576.22
LA,hyperlip,41375.23,41854.33,41614.78
LA,hypertension,20151.18,25666.76,23005.16
LA,ischemia,29772.61,169048.35,97661.19
LA,arthritis,20865.08,20865.08,20865.08
LA,psychotic,27546.24,27546.24,27546.24
LA,stroke,76589.78,76589.78,76589.78
