state,condition,low_ave,high_ave,med_ave
AK,atrial_fib,27075.59,98342.65,50057.12
AK,asthma,0.0,0.0,0.0
AK,chronic_kidney,23548.99,157756.91,40402.16
AK,pulmonary,29665.36,44941.46,38562.65
AK,depression,41321.93,41321.93,41321.93
AK,diabetes,39254.25,39254.25,39254.25
AK,hyperlip,0.0,0.0,0.0
AK,hypertension,0.0,0.0,0.0
AK,ischemia,47666.32,272682.3,152110.6
AK,arthritis,0.0,0.0,0.0
AK,psychotic,0.0,0.0,0.0
AK,stroke,0.0,0.0,0.0
AL,atrial_fib,16928.27,107940.23,43590.18
AL,asthma,20207.3,28852.61,24833.25
AL,chronic_kidney,21459.85,89214.12,37839.8
AL,pulmonary,20015.63,37071.38,28628.33
AL,depression,18455.08,28040.95,22720.88
AL,diabetes,19477.76,36851.82,27874.65
AL,hyperlip,54513.2,64488.43,59259.62
AL,hypertension,24014.38,24224.8,24119.59
AL,ischemia,28957.88,203080.95,96078.73
AL,arthritis,38305.32,38305.32,38305.32
AL,psychotic,25596.92,26263.73,25930.33
AL,stroke,33491.29,33491.29,33491.29
AR,atrial_fib,11263.82,100857.73,31458.37
AR,asthma,14233.57,18350.01,17060.84
AR,chronic_kidney,13343.95,94094.17,24453.13
AR,pulmonary,14665.58,25246.85,18625.54
AR,depression,8795.58,14472.02,10231.99
AR,diabetes,13564.06,28470.03,19543.63
AR,hyperlip,33277.4,44199.08,38738.24
AR,hypertension,10845.75,18129.67,14089.27
AR,ischemia,20390.44,144492.58,70303.41
AR,arthritis,0.0,0.0,0.0
AR,psychotic,12671.4,17206.96,15162.2
AR,stroke,55664.3,55664.3,55664.3
AZ,atrial_fib,21630.44,106329.26,45678.9
AZ,asthma,31701.47,32689.87,32195.67
AZ,chronic_kidney,25125.3,68386.92,36780.07
AZ,pulmonary,28079.87,39241.18,33209.95
AZ,depression,32942.65,32942.65,32942.65
AZ,diabetes,28830.45,35217.99,31515.19
AZ,hyperlip,53480.44,58772.7,56126.57
AZ,hypertension,25615.5,25615.5,25615.5
AZ,ischemia,40892.0,185155.41,103195.84
AZ,arthritis,30518.83,30518.83,30518.83
AZ,psychotic,28976.66,28976.66,28976.66
AZ,stroke,63042.33,63042.33,63042.33
CA,atrial_fib,36844.57,143666.19,68463.13
CA,asthma,48849.19,52812.82,50831.01
CA,chronic_kidney,41231.99,142666.85,59145.64
CA,pulmonary,44857.63,68302.92,54318.12
CA,depression,51334.97,56015.95,53593.76
CA,diabetes,50200.61,64649.26,55978.41
CA,hyperlip,83591.5,95646.14,86796.87
CA,hypertension,42718.1,43145.88,42931.99
